id,titulo,descricao,tema,classe_esperada,classe_produzida,status
1,Câncer envolve crescimento desordenado de células,O câncer é caracterizado pelo crescimento desordenado de células que podem invadir tecidos e órgãos.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
2,Existem mais de 100 tipos de câncer,O termo câncer corresponde a um conjunto de mais de 100 doenças diferentes.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
3,Células cancerígenas podem causar metástase,Células cancerígenas podem se espalhar para outras regiões do corpo e atingir outros órgãos.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
4,Tabagismo é fator de risco para câncer,O consumo de tabaco está entre os fatores de risco associados ao desenvolvimento de câncer.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
5,Consumo excessivo de álcool é fator de risco para câncer,O consumo excessivo de bebidas alcoólicas está entre os fatores de risco relacionados ao câncer.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
6,Vacinação pode participar da prevenção do câncer,A vacinação contra HPV e hepatite B faz parte das medidas de prevenção de determinados cânceres.,cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
7,Quimioterapia pode ser utilizada contra o câncer,"Dependendo do tipo e estágio da doença, a quimioterapia pode fazer parte do tratamento do câncer.",cancer,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
8,Dengue é causada pelo DENV,"A dengue é uma arbovirose causada pelo vírus da dengue, denominado DENV.",dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
9,Existem quatro sorotipos conhecidos do vírus da dengue,"São conhecidos os sorotipos DENV-1, DENV-2, DENV-3 e DENV-4.",dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
10,Aedes aegypti é o principal transmissor da dengue,A principal forma de transmissão da dengue ocorre pela picada da fêmea infectada do mosquito Aedes aegypti.,dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
11,Dengue pode não apresentar sintomas,Uma pessoa infectada pelo vírus da dengue pode permanecer assintomática.,dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
12,Dengue pode evoluir para formas graves,"Embora muitos casos sejam leves, a dengue pode evoluir para formas graves da doença.",dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
13,Febre alta pode ocorrer na dengue,A febre alta está entre os possíveis sintomas apresentados por pessoas com dengue.,dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
14,Combater o Aedes aegypti ajuda na prevenção da dengue,O controle do mosquito Aedes aegypti constitui uma importante estratégia para prevenir e controlar a dengue.,dengue,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
15,Diabetes é uma doença crônica,O diabetes é uma doença crônica relacionada à produção insuficiente de insulina ou à utilização inadequada desse hormônio pelo organismo.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
16,Diabetes tipo 1 envolve destruição autoimune de células beta,O diabetes tipo 1 é caracterizado pela destruição autoimune das células beta pancreáticas.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
17,Diabetes tipo 2 está associado à resistência à insulina,A resistência insulínica é uma característica associada ao diabetes tipo 2.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
18,Obesidade é fator de risco para diabetes tipo 2,A obesidade está entre os fatores de risco relacionados ao desenvolvimento do diabetes tipo 2.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
19,Diabetes pode causar insuficiência renal,A insuficiência renal está entre as possíveis complicações do diabetes.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
20,Diabetes pode causar problemas cardiovasculares,Doenças cardiovasculares estão entre as complicações que podem ocorrer em pessoas com diabetes.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
21,Atividade física ajuda na prevenção do diabetes tipo 2,A prática regular de atividade física faz parte das medidas de prevenção do diabetes tipo 2.,diabetes,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
22,Hipertensão é caracterizada por pressão sanguínea elevada,A hipertensão arterial é uma condição crônica caracterizada por níveis elevados de pressão sanguínea.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
23,Hipertensão aumenta o risco de AVC,A hipertensão arterial está entre os principais fatores de risco para acidente vascular cerebral.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
24,Hipertensão pode estar relacionada à insuficiência renal,A insuficiência renal está entre as possíveis complicações associadas à hipertensão arterial.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
25,Dieta rica em sal é fator de risco para hipertensão,O consumo elevado de sal está entre os fatores de risco relacionados à hipertensão arterial.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
26,Sedentarismo é fator de risco para hipertensão,A falta de atividade física está entre os fatores de risco associados à hipertensão.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
27,Reduzir o consumo de sal ajuda a prevenir hipertensão,A redução do consumo de sal faz parte das medidas de prevenção da hipertensão arterial.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
28,Atividade física ajuda na prevenção da hipertensão,A prática regular de atividade física faz parte das medidas recomendadas para prevenir hipertensão.,hipertensao,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
29,Medicamentos essenciais atendem necessidades prioritárias de saúde,A OMS define medicamentos essenciais como aqueles destinados a satisfazer necessidades prioritárias de saúde da população.,medicamentos,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
30,Medicamentos essenciais devem estar disponíveis em quantidade suficiente,Os medicamentos considerados essenciais devem estar disponíveis em quantidade suficiente para atender às necessidades da população.,medicamentos,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
31,Medicamentos essenciais devem ter preços acessíveis,A disponibilidade de medicamentos essenciais deve ocorrer a preços acessíveis.,medicamentos,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
32,Lista de medicamentos essenciais da OMS serve de referência para países,A lista da OMS pode orientar países na elaboração de suas próprias listas nacionais e políticas de saúde.,medicamentos,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
33,Uso racional de medicamentos ajuda a evitar efeitos adversos,"O uso racional de medicamentos é importante para reduzir problemas como efeitos adversos, desperdício e resistência antimicrobiana.",medicamentos,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
34,Vacinas passam por avaliação antes da aprovação,"Antes de serem disponibilizadas à população, as vacinas passam por processos de avaliação.",vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
35,Anvisa avalia vacinas no Brasil,A Anvisa participa da avaliação regulatória e do registro de vacinas no Brasil.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
36,Segurança faz parte da avaliação das vacinas,A avaliação regulatória das vacinas considera informações relacionadas à segurança dos produtos.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
37,Eficácia é avaliada antes da aprovação de vacinas,Dados relacionados à eficácia fazem parte da avaliação realizada antes da disponibilização das vacinas.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
38,Vacinas continuam sendo monitoradas após aprovação,A segurança das vacinas continua sendo acompanhada mesmo depois que elas passam a ser utilizadas pela população.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
39,Farmacovigilância monitora possíveis eventos adversos de vacinas,A farmacovigilância permite identificar e avaliar possíveis eventos adversos relacionados às vacinas.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
40,Evento após vacinação não prova que a vacina foi a causa,A ocorrência de um problema depois da vacinação não significa automaticamente que ele tenha sido causado pela vacina; a relação causal precisa ser avaliada.,vacinas,SUSTENTADA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ACERTO
41,Câncer pode causar metástase e também queda de cabelo espontânea,"Células cancerígenas podem se espalhar para outros órgãos por metástase, e toda pessoa com câncer também apresenta queda de cabelo espontânea causada diretamente pela doença.",cancer,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
42,Tabagismo aumenta o risco de câncer e determina a idade do diagnóstico,O tabagismo está entre os fatores de risco para câncer e também permite determinar exatamente em que idade uma pessoa desenvolverá a doença.,cancer,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
43,Obesidade é fator de risco para câncer e provoca câncer de ouvido,A obesidade está entre os fatores de risco relacionados ao câncer e também provoca especificamente câncer de ouvido em todas as pessoas obesas.,cancer,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
44,Vacinação participa da prevenção do câncer e reduz dores musculares,A vacinação contra HPV e hepatite B pode participar da prevenção de determinados cânceres e também reduz dores musculares em pacientes com câncer.,cancer,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
45,Quimioterapia trata câncer e melhora a visão,A quimioterapia pode fazer parte do tratamento contra o câncer e também melhora a capacidade visual dos pacientes.,cancer,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
46,Exposição solar sem proteção é fator de risco e causa hipertensão,A exposição solar sem proteção está entre os fatores de risco relacionados ao câncer e também provoca hipertensão arterial.,cancer,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
47,Dengue é transmitida pelo Aedes aegypti e altera a cor dos olhos,A dengue é transmitida principalmente pela picada da fêmea infectada do Aedes aegypti e a infecção também altera temporariamente a cor dos olhos.,dengue,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
48,Dengue pode causar febre alta e perda de cabelo,A febre alta está entre os possíveis sintomas da dengue e a doença também provoca queda de cabelo durante a fase inicial da infecção.,dengue,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
49,Dengue pode ser assintomática e alterar a audição,A infecção pelo vírus da dengue pode não apresentar sintomas e também pode aumentar temporariamente a capacidade auditiva.,dengue,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
50,Eliminar água parada combate criadouros e melhora a imunidade,Eliminar locais que acumulam água ajuda a combater os criadouros do Aedes aegypti e também aumenta a imunidade das pessoas contra o vírus da dengue.,dengue,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
51,Dengue pode causar dor de cabeça e aumentar a glicemia,A dor de cabeça está entre os possíveis sintomas da dengue e a infecção também provoca aumento da glicemia em todos os pacientes.,dengue,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
52,Dengue pode evoluir para formas graves e causar miopia,A dengue pode evoluir para quadros graves e também provoca miopia nos pacientes que desenvolvem a forma grave.,dengue,PARCIALMENTE SUSTENTADA,CONTRADITA PELAS EVIDÊNCIAS,ERRO
53,Diabetes pode causar insuficiência renal e alterar a audição,A insuficiência renal está entre as possíveis complicações do diabetes e a doença também provoca aumento da capacidade auditiva.,diabetes,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
54,Diabetes tipo 2 está associado à resistência insulínica e causa febre,O diabetes tipo 2 está associado à resistência à insulina e também provoca episódios frequentes de febre alta.,diabetes,PARCIALMENTE SUSTENTADA,ENGANOSA,ERRO
55,Obesidade é fator de risco para diabetes tipo 2 e causa diabetes tipo 1,A obesidade está entre os fatores de risco relacionados ao diabetes tipo 2 e também provoca diretamente o desenvolvimento do diabetes tipo 1.,diabetes,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
56,Atividade física ajuda a prevenir diabetes tipo 2 e melhora a audição,A atividade física regular participa da prevenção do diabetes tipo 2 e também melhora diretamente a capacidade auditiva.,diabetes,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
57,Diabetes pode causar cegueira e alterar a cor dos cabelos,A cegueira está entre as possíveis complicações do diabetes e a doença também pode modificar permanentemente a cor natural dos cabelos.,diabetes,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
58,Insulina pode fazer parte do tratamento e também prevenir dengue,A insulina pode ser utilizada no tratamento do diabetes e seu uso também reduz o risco de uma pessoa contrair dengue.,diabetes,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
59,Hipertensão aumenta o risco de AVC e provoca queda de cabelo,A hipertensão arterial é fator de risco para AVC e também provoca queda de cabelo em pessoas hipertensas.,hipertensao,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
60,Sal está relacionado à hipertensão e também ao vírus da dengue,Uma dieta rica em sal está entre os fatores de risco para hipertensão e o consumo elevado de sal também aumenta a multiplicação do vírus da dengue no organismo.,hipertensao,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
61,Atividade física ajuda a prevenir hipertensão e melhora a visão,A atividade física regular faz parte das medidas de prevenção da hipertensão e também melhora diretamente a capacidade visual.,hipertensao,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
62,Hipertensão pode causar insuficiência renal e modificar a audição,A insuficiência renal está entre as possíveis complicações da hipertensão e a condição também provoca alterações permanentes na audição.,hipertensao,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
63,Obesidade é fator de risco para hipertensão e causa dengue,A obesidade está entre os fatores de risco associados à hipertensão e também aumenta diretamente a chance de uma pessoa ser infectada pelo vírus da dengue.,hipertensao,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
64,Reduzir o sal ajuda a prevenir hipertensão e previne câncer,A redução do consumo de sal faz parte das medidas de prevenção da hipertensão e também impede o desenvolvimento de câncer.,hipertensao,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
65,Hipertensão aumenta o risco cardiovascular e causa febre,A hipertensão está relacionada ao aumento do risco de doenças cardiovasculares e também provoca episódios de febre alta.,hipertensao,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
66,Medicamentos essenciais atendem prioridades de saúde e melhoram a memória,Medicamentos essenciais atendem necessidades prioritárias de saúde da população e também melhoram a memória de qualquer pessoa que os utilize.,medicamentos,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
67,Medicamentos essenciais devem ser acessíveis e ter sabor agradável,Medicamentos essenciais devem estar disponíveis a preços acessíveis e também precisam apresentar sabor agradável.,medicamentos,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
68,Uso racional reduz efeitos adversos e melhora a visão,O uso racional de medicamentos é importante para reduzir efeitos adversos e também aumenta a capacidade visual dos pacientes.,medicamentos,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
69,Lista da OMS orienta políticas nacionais e define preços mundiais,A lista de medicamentos essenciais da OMS serve como referência para políticas nacionais e também determina o preço de todos os medicamentos comercializados no mundo.,medicamentos,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
70,Medicamentos essenciais devem ter qualidade e embalagem azul,Os medicamentos essenciais devem possuir qualidade garantida e também precisam ser comercializados em embalagens azuis.,medicamentos,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
71,Uso racional ajuda a combater resistência antimicrobiana e previne câncer,O uso racional de medicamentos é importante para evitar resistência antimicrobiana e também reduz diretamente o risco de todos os tipos de câncer.,medicamentos,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
72,Vacinas passam por avaliação e aumentam a força muscular,As vacinas passam por avaliação antes de serem disponibilizadas à população e também aumentam a força muscular das pessoas vacinadas.,vacinas,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
